,expected_score
0000,0.033157798382493886
2000,0.03356242200741279
1000,0.033681354332566506
0100,0.08679945323179067
1100,0.08819357192072305
2100,0.08848366173051034
0010,0.16194895591647332
1010,0.18310955438801324
2010,0.2059659090909091
0110,0.22460824143934996
2001,0.25295420974889216
1110,0.2544052863436123
2110,0.270979967514889
2101,0.31339031339031337
2011,0.38658829815655893
0001,0.5030241935483871
1001,0.511204481792717
1101,0.5884353741496599
2111,0.593297974927676
1011,0.6151399491094147
0011,0.648729446935725
0101,0.6521246458923513
1111,0.7888493475682088
0111,0.8508327299058653
