,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,リカード,二フライ,1,0,0,1,表,オリオールズ
1,1000,2,Aジョーンズ,三ゴロ,2,0,0,1,表,オリオールズ
2,2000,3,マチャド,中安打,2,0,0,1,表,オリオールズ
3,2100,4,トランボ,左ライナー,3,0,0,1,表,オリオールズ
4,0000,1,キンズラー,右二塁打,0,0,0,1,裏,タイガース
5,0010,2,カステラノス,三ゴロ,1,0,0,1,裏,タイガース
6,1010,3,カブレラ,中安打,1,0,0,1,裏,タイガース
7,1101,4,Vマルティネス,一ゴロ,2,1,0,1,裏,タイガース
8,2100,5,アップトン,四球,2,1,0,1,裏,タイガース
9,2110,6,Jマルティネス,四球,2,1,0,1,裏,タイガース
10,2111,7,マトゥック,右ライナー,3,1,0,1,裏,タイガース
11,0000,5,デービス,四球,0,1,0,2,表,オリオールズ
12,0100,6,スクープ,三ゴロ併殺,2,1,0,2,表,オリオールズ
13,2000,7,カスティーヨ,中安打,2,1,0,2,表,オリオールズ
14,2100,8,マンシーニ,遊フライ,3,1,0,2,表,オリオールズ
15,0000,8,マキャン,空振り三振,1,1,0,2,裏,タイガース
16,1000,9,イグレシアス,右安打,1,1,0,2,裏,タイガース
17,1100,1,キンズラー,遊ゴロ,2,1,0,2,裏,タイガース
18,2100,2,カステラノス,遊ゴロ,3,1,0,2,裏,タイガース
19,0000,9,ハーディ,左本塁打,0,1,1,3,表,オリオールズ
20,0000,1,リカード,空振り三振,1,1,1,3,表,オリオールズ
21,1000,2,Aジョーンズ,左二塁打,1,1,1,3,表,オリオールズ
22,1010,3,マチャド,中二塁打,1,1,2,3,表,オリオールズ
23,1010,4,トランボ,三安打,1,1,2,3,表,オリオールズ
24,1110,5,デービス,中二塁打,1,1,3,3,表,オリオールズ
25,1011,6,スクープ,四球,1,1,3,3,表,オリオールズ
26,1111,7,カスティーヨ,左安打,1,1,5,3,表,オリオールズ
27,1110,8,マンシーニ,中安打,1,1,6,3,表,オリオールズ
28,1101,9,ハーディ,投ゴロ,2,1,7,3,表,オリオールズ
29,2100,1,リカード,二ライナー,3,1,7,3,表,オリオールズ
30,0000,3,カブレラ,四球,0,1,7,3,裏,タイガース
31,0100,4,Vマルティネス,左本塁打,0,3,7,3,裏,タイガース
32,0000,5,アップトン,二ゴロ,1,3,7,3,裏,タイガース
33,1000,6,Jマルティネス,右本塁打,1,4,7,3,裏,タイガース
34,1000,7,マトゥック,左二塁打,1,4,7,3,裏,タイガース
35,1010,8,マキャン,空振り三振,2,4,7,3,裏,タイガース
36,2010,9,イグレシアス,二ゴロ,3,4,7,3,裏,タイガース
37,0000,2,Aジョーンズ,見逃し三振,1,4,7,4,表,オリオールズ
38,1000,3,マチャド,投ゴロ,2,4,7,4,表,オリオールズ
39,2000,4,トランボ,二ゴロ,3,4,7,4,表,オリオールズ
40,0000,1,キンズラー,三ゴロ,1,4,7,4,裏,タイガース
41,1000,2,カステラノス,右フライ,2,4,7,4,裏,タイガース
42,2000,3,カブレラ,空振り三振,3,4,7,4,裏,タイガース
43,0000,5,デービス,空振り三振,1,4,7,5,表,オリオールズ
44,1000,6,スクープ,遊ゴロ,2,4,7,5,表,オリオールズ
45,2000,7,カスティーヨ,左安打,2,4,7,5,表,オリオールズ
46,2100,8,マンシーニ,三ゴロ,3,4,7,5,表,オリオールズ
47,0000,4,Vマルティネス,二ゴロ,1,4,7,5,裏,タイガース
48,1000,5,アップトン,右ライナー,2,4,7,5,裏,タイガース
49,2000,6,Jマルティネス,四球,2,4,7,5,裏,タイガース
50,2100,7,マトゥック,遊ゴロ,3,4,7,5,裏,タイガース
51,0000,9,ハーディ,三ライナー,1,4,7,6,表,オリオールズ
52,1000,1,リカード,空振り三振,2,4,7,6,表,オリオールズ
53,2000,2,Aジョーンズ,右フライ,3,4,7,6,表,オリオールズ
54,0000,8,マキャン,中安打,0,4,7,6,裏,タイガース
55,0100,9,イグレシアス,左安打,0,4,7,6,裏,タイガース
56,0110,1,キンズラー,右ライナー,1,4,7,6,裏,タイガース
57,1110,2,カステラノス,三ゴロ併殺,3,4,7,6,裏,タイガース
58,0000,3,マチャド,遊ゴロ,1,4,7,7,表,オリオールズ
59,1000,4,トランボ,中安打,1,4,7,7,表,オリオールズ
60,1100,5,デービス,四球,1,4,7,7,表,オリオールズ
