,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,楽天,安樂 智大,右,6.00,ソフトバンク,牧原 大成,左,.350,3,24,7,7,遊失
1,0100,1回表,楽天,安樂 智大,右,6.00,ソフトバンク,今宮 健太,右,.265,11,44,24,4,投犠打
2,1010,1回表,楽天,安樂 智大,右,6.00,ソフトバンク,中村 晃,左,.288,13,51,53,1,四球
3,1110,1回表,楽天,安樂 智大,右,6.00,ソフトバンク,柳田 悠岐,左,.351,32,91,58,20,見三振
4,2110,1回表,楽天,安樂 智大,右,6.00,ソフトバンク,グラシアル,右,.300,5,18,7,1,遊ゴロ
5,3000,,,,,,,,,,,,,,
6,0000,1回裏,ソフトバンク,東浜 巨,右,3.63,楽天,田中 和基,左,.289,16,38,27,21,一安
7,0100,1回裏,ソフトバンク,東浜 巨,右,3.63,楽天,銀次,左,.274,4,41,45,1,二併打
8,2000,1回裏,ソフトバンク,東浜 巨,右,3.63,楽天,島内 宏明,左,.281,8,43,37,9,左飛
9,3000,,,,,,,,,,,,,,
10,0000,2回表,楽天,安樂 智大,右,6.00,ソフトバンク,松田 宣浩,右,.256,27,68,44,3,遊ゴロ
11,1000,2回表,楽天,安樂 智大,右,6.00,ソフトバンク,明石 健志,左,.269,0,4,7,0,中飛
12,2000,2回表,楽天,安樂 智大,右,6.00,ソフトバンク,甲斐 拓也,右,.210,6,28,23,2,中飛
13,3000,,,,,,,,,,,,,,
14,0000,2回裏,ソフトバンク,東浜 巨,右,3.63,楽天,ウィーラー,右,.254,11,41,28,3,二飛
15,1000,2回裏,ソフトバンク,東浜 巨,右,3.63,楽天,内田 靖人,右,.218,6,10,10,0,三ゴロ
16,2000,2回裏,ソフトバンク,東浜 巨,右,3.63,楽天,山下 斐紹,左,.197,2,8,4,0,二ゴロ
17,3000,,,,,,,,,,,,,,
18,0000,3回表,楽天,安樂 智大,右,6.00,ソフトバンク,上林 誠知,左,.261,19,55,23,11,捕飛
19,1000,3回表,楽天,安樂 智大,右,6.00,ソフトバンク,牧原 大成,左,.350,3,24,7,7,左安
20,1100,3回表,楽天,安樂 智大,右,6.00,ソフトバンク,今宮 健太,右,.265,11,44,24,4,右本
21,1000,3回表,楽天,安樂 智大,右,6.00,ソフトバンク,中村 晃,左,.288,13,51,53,1,投安
22,1100,3回表,楽天,安樂 智大,右,6.00,ソフトバンク,柳田 悠岐,左,.351,32,91,58,20,中安
23,1110,3回表,楽天,安樂 智大,右,6.00,ソフトバンク,グラシアル,右,.300,5,18,7,1,三ゴロ
24,2101,3回表,楽天,安樂 智大,右,6.00,ソフトバンク,松田 宣浩,右,.256,27,68,44,3,左飛
25,3000,,,,,,,,,,,,,,
26,0000,3回裏,ソフトバンク,東浜 巨,右,3.63,楽天,八百板 卓丸,左,.206,0,0,2,1,中飛
27,1000,3回裏,ソフトバンク,東浜 巨,右,3.63,楽天,西巻 賢二,右,.260,0,3,3,0,左安
28,1100,3回裏,ソフトバンク,東浜 巨,右,3.63,楽天,山崎 剛,左,.111,0,0,0,2,投ゴロ
29,2001,3回裏,ソフトバンク,東浜 巨,右,3.63,楽天,田中 和基,左,.289,16,38,27,21,投失
30,2001,3回裏,ソフトバンク,東浜 巨,右,3.63,楽天,銀次,左,.274,4,41,45,1,二ゴロ
31,3000,,,,,,,,,,,,,,
32,0000,4回表,楽天,安樂 智大,右,6.00,ソフトバンク,明石 健志,左,.269,0,4,7,0,中３
33,0001,4回表,楽天,安樂 智大,右,6.00,ソフトバンク,甲斐 拓也,右,.210,6,28,23,2,左安
34,0100,4回表,楽天,安樂 智大,右,6.00,ソフトバンク,上林 誠知,左,.261,19,55,23,11,一失
35,0101,4回表,楽天,安樂 智大,右,6.00,ソフトバンク,牧原 大成,左,.350,3,24,7,7,中飛
36,1101,4回表,楽天,安樂 智大,右,6.00,ソフトバンク,今宮 健太,右,.265,11,44,24,4,左犠飛
37,2010,4回表,楽天,安樂 智大,右,6.00,ソフトバンク,中村 晃,左,.288,13,51,53,1,中飛
38,3000,,,,,,,,,,,,,,
