,試合ID,表チーム,裏チーム,表得点,裏得点
0,1702819.csv,Rソックス,タイガース,5,6
1,1702820.csv,Rソックス,タイガース,1,4
2,1702821.csv,Rソックス,タイガース,7,5
3,1702822.csv,Rソックス,タイガース,1,2
4,1702823.csv,ツインズ,タイガース,1,2
5,1702824.csv,ツインズ,タイガース,3,5
6,1702825.csv,ツインズ,タイガース,11,5
7,1702827.csv,マリナーズ,タイガース,8,0
8,1702828.csv,マリナーズ,タイガース,2,1
9,1702829.csv,Wソックス,タイガース,7,3
10,1702830.csv,Wソックス,タイガース,6,4
11,1702831.csv,Wソックス,タイガース,3,7
12,1702832.csv,インディアンス,タイガース,1,7
13,1702833.csv,インディアンス,タイガース,2,5
14,1702834.csv,インディアンス,タイガース,3,2
15,1702836.csv,オリオールズ,タイガース,13,11
16,1702837.csv,オリオールズ,タイガース,4,5
17,1702838.csv,オリオールズ,タイガース,5,6
18,1702839.csv,レンジャーズ,タイガース,5,3
19,1702840.csv,レンジャーズ,タイガース,3,9
20,1702843.csv,Wソックス,タイガース,1,10
21,1702844.csv,Wソックス,タイガース,4,7
22,1702845.csv,エンゼルス,タイガース,5,3
23,1702846.csv,エンゼルス,タイガース,0,4
24,1702847.csv,エンゼルス,タイガース,11,4
25,1702849.csv,Dバックス,タイガース,2,1
26,1702850.csv,レイズ,タイガース,3,5
27,1702851.csv,レイズ,タイガース,4,13
28,1702854.csv,ロイヤルズ,タイガース,3,5
29,1702855.csv,ロイヤルズ,タイガース,8,2
30,1702858.csv,インディアンス,タイガース,4,1
31,1702859.csv,インディアンス,タイガース,11,8
32,1702860.csv,ジャイアンツ,タイガース,3,5
33,1702862.csv,ジャイアンツ,タイガース,2,6
34,1702863.csv,ア・リーグ,ナ・リーグ,2,1
35,1702867.csv,ロイヤルズ,タイガース,5,3
36,1702868.csv,ロイヤルズ,タイガース,3,1
37,1702869.csv,ロイヤルズ,タイガース,16,2
38,1702870.csv,アストロズ,タイガース,6,5
39,1702871.csv,アストロズ,タイガース,3,5
40,1702872.csv,アストロズ,タイガース,1,13
41,1702873.csv,パイレーツ,タイガース,0,10
42,1702874.csv,パイレーツ,タイガース,7,5
43,1702875.csv,ツインズ,タイガース,9,4
44,1702876.csv,ツインズ,タイガース,11,12
45,1702877.csv,ツインズ,タイガース,6,4
46,1702878.csv,ドジャース,タイガース,8,5
47,1702879.csv,ドジャース,タイガース,3,0
48,1702881.csv,ヤンキース,タイガース,13,4
49,1702882.csv,ヤンキース,タイガース,10,2
50,1702883.csv,ヤンキース,タイガース,6,10
51,1702884.csv,インディアンス,タイガース,10,0
52,1702885.csv,インディアンス,タイガース,5,2
53,1702888.csv,ロイヤルズ,タイガース,2,13
54,1702889.csv,ロイヤルズ,タイガース,13,2
55,1702890.csv,Wソックス,タイガース,17,7
56,1702891.csv,Wソックス,タイガース,2,3
57,1702892.csv,Wソックス,タイガース,10,4
58,1702893.csv,Wソックス,タイガース,0,12
59,1702894.csv,アスレチックス,タイガース,8,3
60,1702895.csv,アスレチックス,タイガース,9,8
61,1702896.csv,アスレチックス,タイガース,3,2
62,1702899.csv,ツインズ,タイガース,10,4
63,1702900.csv,ツインズ,タイガース,10,4
64,1702901.csv,Wソックス,インディアンス,1,2
65,1702902.csv,Wソックス,インディアンス,2,1
66,1702903.csv,Wソックス,インディアンス,10,4
67,1702904.csv,タイガース,インディアンス,7,6
68,1702905.csv,タイガース,インディアンス,6,13
69,1702906.csv,タイガース,インディアンス,4,1
70,1702908.csv,アストロズ,インディアンス,6,7
71,1702909.csv,アストロズ,インディアンス,3,4
72,1702910.csv,マリナーズ,インディアンス,3,1
73,1702911.csv,マリナーズ,インディアンス,3,4
74,1702912.csv,マリナーズ,インディアンス,4,12
75,1702913.csv,ツインズ,インディアンス,1,0
76,1702914.csv,ツインズ,インディアンス,4,1
77,1702915.csv,ツインズ,インディアンス,3,8
78,1702916.csv,レイズ,インディアンス,7,8
79,1702917.csv,レイズ,インディアンス,6,4
80,1702918.csv,レイズ,インディアンス,7,4
81,1702919.csv,レッズ,インディアンス,4,3
82,1702922.csv,ロイヤルズ,インディアンス,5,2
83,1702923.csv,ロイヤルズ,インディアンス,1,10
84,1702924.csv,アスレチックス,インディアンス,3,5
85,1702925.csv,アスレチックス,インディアンス,4,9
86,1702926.csv,アスレチックス,インディアンス,3,1
87,1702927.csv,アスレチックス,インディアンス,0,8
88,1702928.csv,Wソックス,インディアンス,3,7
89,1702929.csv,Wソックス,インディアンス,5,3
90,1702930.csv,Wソックス,インディアンス,2,4
91,1702932.csv,ドジャース,インディアンス,6,4
92,1702933.csv,ドジャース,インディアンス,5,12
93,1702934.csv,ツインズ,インディアンス,5,0
94,1702935.csv,ツインズ,インディアンス,4,2
95,1702936.csv,ツインズ,インディアンス,4,0
96,1702937.csv,レンジャーズ,インディアンス,9,15
97,1702938.csv,レンジャーズ,インディアンス,2,1
98,1702939.csv,レンジャーズ,インディアンス,3,5
99,1702941.csv,パドレス,インディアンス,1,0
100,1702943.csv,パドレス,インディアンス,2,11
101,1702944.csv,タイガース,インディアンス,2,11
102,1702945.csv,タイガース,インディアンス,0,4
103,1702946.csv,タイガース,インディアンス,5,3
104,1702947.csv,ブルージェイズ,インディアンス,3,13
105,1702949.csv,ブルージェイズ,インディアンス,1,8
106,1702950.csv,エンゼルス,インディアンス,7,11
107,1702951.csv,エンゼルス,インディアンス,4,10
108,1702952.csv,エンゼルス,インディアンス,1,2
109,1702953.csv,ヤンキース,インディアンス,1,5
110,1702954.csv,ヤンキース,インディアンス,2,7
111,1702955.csv,ヤンキース,インディアンス,2,1
112,1702956.csv,ヤンキース,インディアンス,8,1
113,1702957.csv,ロッキーズ,インディアンス,1,4
114,1702958.csv,ロッキーズ,インディアンス,3,2
115,1702960.csv,Rソックス,インディアンス,9,1
116,1702961.csv,Rソックス,インディアンス,6,1
117,1702962.csv,Rソックス,インディアンス,6,13
118,1702963.csv,ロイヤルズ,インディアンス,0,4
119,1702964.csv,ロイヤルズ,インディアンス,0,4
120,1702965.csv,ロイヤルズ,インディアンス,0,12
121,1702966.csv,オリオールズ,インディアンス,0,5
122,1702967.csv,オリオールズ,インディアンス,2,4
123,1702968.csv,オリオールズ,インディアンス,2,3
124,1702969.csv,タイガース,インディアンス,0,11
125,1702970.csv,タイガース,インディアンス,0,2
126,1702971.csv,タイガース,インディアンス,3,5
127,1702972.csv,ロイヤルズ,インディアンス,2,3
128,1702973.csv,ロイヤルズ,インディアンス,4,3
129,1702974.csv,ロイヤルズ,インディアンス,4,8
130,1702975.csv,ロイヤルズ,インディアンス,2,3
131,1702976.csv,ツインズ,インディアンス,8,6
132,1702977.csv,ツインズ,インディアンス,2,4
133,1702978.csv,ツインズ,インディアンス,2,5
134,1702979.csv,Wソックス,インディアンス,1,10
135,1702980.csv,Wソックス,インディアンス,2,1
136,1702981.csv,Wソックス,インディアンス,1,3
137,1702982.csv,アスレチックス,ロイヤルズ,2,0
138,1702983.csv,アスレチックス,ロイヤルズ,8,3
139,1702984.csv,アスレチックス,ロイヤルズ,1,3
140,1702985.csv,エンゼルス,ロイヤルズ,1,7
141,1702986.csv,エンゼルス,ロイヤルズ,2,3
142,1702987.csv,エンゼルス,ロイヤルズ,0,1
143,1702988.csv,ジャイアンツ,ロイヤルズ,2,1
144,1702989.csv,ジャイアンツ,ロイヤルズ,0,2
145,1702990.csv,ツインズ,ロイヤルズ,6,4
146,1702992.csv,ツインズ,ロイヤルズ,7,5
147,1702993.csv,Wソックス,ロイヤルズ,1,6
148,1702994.csv,Wソックス,ロイヤルズ,6,0
149,1702995.csv,Wソックス,ロイヤルズ,1,6
150,1702996.csv,Wソックス,ロイヤルズ,8,3
151,1702997.csv,インディアンス,ロイヤルズ,1,3
152,1702998.csv,インディアンス,ロイヤルズ,3,1
153,1702999.csv,インディアンス,ロイヤルズ,1,0
154,1703000.csv,オリオールズ,ロイヤルズ,2,3
155,1703001.csv,オリオールズ,ロイヤルズ,3,4
156,1703002.csv,オリオールズ,ロイヤルズ,8,9
157,1703003.csv,ヤンキース,ロイヤルズ,7,1
158,1703004.csv,ヤンキース,ロイヤルズ,11,7
159,1703005.csv,ヤンキース,ロイヤルズ,1,5
