,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
0,0000,1,イートン,中フライ,1,0,0,1,表,ナショナルズ
1,1000,2,ターナー,投フライ,2,0,0,1,表,ナショナルズ
2,2000,3,ソト,一邪飛,3,0,0,1,表,ナショナルズ
3,0000,1,ニモー,三邪飛,1,0,0,1,裏,メッツ
4,1000,2,カブレラ,空振り三振,2,0,0,1,裏,メッツ
5,2000,3,バティスタ,右ライナー,3,0,0,1,裏,メッツ
6,0000,4,レンドン,左安打,0,0,0,2,表,ナショナルズ
7,0100,5,アダムズ,右安打,0,0,0,2,表,ナショナルズ
8,0101,6,テイラー,遊ゴロ,1,0,1,2,表,ナショナルズ
9,1100,7,ウィータース,投ゴロ併殺,3,0,1,2,表,ナショナルズ
10,0000,4,コンフォート,四球,0,0,1,2,裏,メッツ
11,0100,5,フローレス,一ゴロ,1,0,1,2,裏,メッツ
12,1010,6,メゾラコ,中安打,1,0,1,2,裏,メッツ
13,1101,7,レイエス,遊ゴロ,2,1,1,2,裏,メッツ
14,2100,8,ロサリオ,遊ゴロ,3,1,1,2,裏,メッツ
15,0000,8,ヘリクソン,遊ゴロ,1,1,1,3,表,ナショナルズ
16,1000,9,ディフォ,投ゴロ,2,1,1,3,表,ナショナルズ
17,2000,1,イートン,二ゴロ,3,1,1,3,表,ナショナルズ
18,0000,9,オズワルト,空振り三振,1,1,1,3,裏,メッツ
19,1000,1,ニモー,右ライナー,2,1,1,3,裏,メッツ
20,2000,2,カブレラ,一ゴロ,3,1,1,3,裏,メッツ
21,0000,2,ターナー,左ライナー,1,1,1,4,表,ナショナルズ
22,1000,3,ソト,空振り三振,2,1,1,4,表,ナショナルズ
23,2000,4,レンドン,左フライ,3,1,1,4,表,ナショナルズ
24,0000,3,バティスタ,見逃し三振,1,1,1,4,裏,メッツ
25,1000,4,コンフォート,空振り三振,2,1,1,4,裏,メッツ
26,2000,5,フローレス,中ライナー,3,1,1,4,裏,メッツ
27,0000,5,アダムズ,一ゴロ,1,1,1,5,表,ナショナルズ
28,1000,6,テイラー,捕ゴロ,2,1,1,5,表,ナショナルズ
29,2000,7,ウィータース,一邪飛,3,1,1,5,表,ナショナルズ
30,0000,6,メゾラコ,空振り三振,1,1,1,5,裏,メッツ
31,1000,7,レイエス,右二塁打,1,1,1,5,裏,メッツ
32,1001,8,ロサリオ,空振り三振,2,1,1,5,裏,メッツ
33,2001,9,スミス,死球,2,1,1,5,裏,メッツ
34,2101,1,ニモー,中フライ,3,1,1,5,裏,メッツ
35,0000,8,ヘリクソン,中安打,0,1,1,6,表,ナショナルズ
36,0100,9,ディフォ,中フライ,1,1,1,6,表,ナショナルズ
37,1100,1,イートン,左ライナー,2,1,1,6,表,ナショナルズ
38,2010,2,ターナー,右フライ,3,1,1,6,表,ナショナルズ
39,0000,2,カブレラ,四球,0,1,1,6,裏,メッツ
40,0100,3,バティスタ,遊フライ,1,1,1,6,裏,メッツ
41,1100,4,コンフォート,投ゴロ併殺,3,1,1,6,裏,メッツ
42,0000,3,ソト,四球,0,1,1,7,表,ナショナルズ
43,0010,4,レンドン,四球,0,1,1,7,表,ナショナルズ
44,0110,5,アダムズ,右安打,0,1,1,7,表,ナショナルズ
45,0111,6,マーフィー,右安打,0,1,3,7,表,ナショナルズ
46,0110,7,ウィータース,捕犠打,1,1,3,7,表,ナショナルズ
47,1011,8,グッドウィン,中フライ,2,1,3,7,表,ナショナルズ
48,2011,9,ディフォ,死球,2,1,3,7,表,ナショナルズ
49,2111,1,イートン,死球,2,1,4,7,表,ナショナルズ
50,2111,2,ターナー,左安打,2,1,6,7,表,ナショナルズ
51,2000,5,フローレス,三ゴロ,1,1,6,7,表,ナショナルズ
52,1000,6,メゾラコ,遊ゴロ,2,1,6,7,表,ナショナルズ
53,2000,7,レイエス,見逃し三振,3,1,6,7,表,ナショナルズ
54,0000,3,ソト,遊ゴロ,1,1,6,7,裏,メッツ
55,1000,4,レンドン,空振り三振,2,1,6,7,裏,メッツ
56,2000,5,アダムズ,空振り三振,3,1,6,7,裏,メッツ
57,0000,8,ロサリオ,右フライ,1,1,6,8,表,ナショナルズ
58,1000,9,デンデッカー,空振り三振,2,1,6,8,表,ナショナルズ
59,2000,1,ニモー,四球,2,1,6,8,表,ナショナルズ
60,2100,2,ケリー,二ゴロ,3,1,6,8,表,ナショナルズ
61,0000,6,レイノルズ,左安打,0,1,6,8,裏,メッツ
62,0100,7,ウィータース,三邪飛,1,1,6,8,裏,メッツ
63,1100,8,グッドウィン,右安打,1,1,6,8,裏,メッツ
64,1110,9,ディフォ,四球,1,1,6,8,裏,メッツ
65,1111,1,イートン,左フライ,2,1,6,8,裏,メッツ
66,2111,2,ターナー,左フライ,3,1,6,8,裏,メッツ
67,0000,3,バティスタ,左安打,0,1,6,9,表,ナショナルズ
68,0100,4,コンフォート,左フライ,1,1,6,9,表,ナショナルズ
69,1100,5,フローレス,遊安打,1,1,6,9,表,ナショナルズ
70,1110,6,メゾラコ,中フライ,2,1,6,9,表,ナショナルズ
71,2110,7,レイエス,左安打,2,1,6,9,表,ナショナルズ
72,2111,8,ロサリオ,一邪飛,3,1,6,9,表,ナショナルズ
