,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,ロッテ,涌井 秀章,右,4.21,広島,田中 広輔,左,.260,3,21,34,11,三邪飛
1,1000,1回表,ロッテ,涌井 秀章,右,4.21,広島,菊池 涼介,右,.268,7,25,14,3,中飛
2,2000,1回表,ロッテ,涌井 秀章,右,4.21,広島,丸 佳浩,左,.322,6,18,38,3,右安
3,2100,1回表,ロッテ,涌井 秀章,右,4.21,広島,鈴木 誠也,右,.301,6,20,22,0,一安
4,2101,1回表,ロッテ,涌井 秀章,右,4.21,広島,松山 竜平,左,.303,4,28,19,0,見逃し
5,3000,,,,,,,,,,,,,,
6,0000,1回裏,広島,大瀬良 大地,右,2.49,ロッテ,荻野 貴司,右,.284,2,16,7,12,左安
7,0100,1回裏,広島,大瀬良 大地,右,2.49,ロッテ,藤岡 裕大,左,.253,3,19,20,5,左飛
8,1100,1回裏,広島,大瀬良 大地,右,2.49,ロッテ,中村 奨吾,右,.297,2,25,20,14,三ゴロ
9,2010,1回裏,広島,大瀬良 大地,右,2.49,ロッテ,角中 勝也,左,.258,1,12,5,0,中飛
10,3000,,,,,,,,,,,,,,
11,0000,2回表,ロッテ,涌井 秀章,右,4.21,広島,松山 竜平,左,.303,4,28,19,0,右本
12,0000,2回表,ロッテ,涌井 秀章,右,4.21,広島,新井 貴浩,右,.258,1,11,3,0,二ゴロ
13,1000,2回表,ロッテ,涌井 秀章,右,4.21,広島,野間 峻祥,左,.353,2,14,7,6,右安
14,1100,2回表,ロッテ,涌井 秀章,右,4.21,広島,會澤 翼,右,.343,5,13,14,0,中飛
15,2100,2回表,ロッテ,涌井 秀章,右,4.21,広島,西川 龍馬,左,.286,0,7,5,0,遊ゴロ
16,3000,,,,,,,,,,,,,,
17,0000,2回裏,広島,大瀬良 大地,右,2.49,ロッテ,ドミンゲス,右,.268,6,13,3,0,二飛
18,1000,2回裏,広島,大瀬良 大地,右,2.49,ロッテ,清田 育宏,右,.250,1,16,17,1,右安
19,1100,2回裏,広島,大瀬良 大地,右,2.49,ロッテ,鈴木 大地,左,.233,1,14,19,4,左飛
20,2100,2回裏,広島,大瀬良 大地,右,2.49,ロッテ,田村 龍弘,右,.238,0,10,17,2,空三振
21,3000,,,,,,,,,,,,,,
22,0000,3回表,ロッテ,涌井 秀章,右,4.21,広島,田中 広輔,左,.260,3,21,34,11,右２
23,0010,3回表,ロッテ,涌井 秀章,右,4.21,広島,菊池 涼介,右,.268,7,25,14,3,投ゴロ
24,1001,3回表,ロッテ,涌井 秀章,右,4.21,広島,丸 佳浩,左,.322,6,18,38,3,右２
25,1010,3回表,ロッテ,涌井 秀章,右,4.21,広島,鈴木 誠也,右,.301,6,20,22,0,投ゴロ
26,2001,3回表,ロッテ,涌井 秀章,右,4.21,広島,松山 竜平,左,.303,4,28,19,0,四球
27,2101,3回表,ロッテ,涌井 秀章,右,4.21,広島,新井 貴浩,右,.258,1,11,3,0,右安
28,2110,3回表,ロッテ,涌井 秀章,右,4.21,広島,野間 峻祥,左,.353,2,14,7,6,中飛
29,3000,,,,,,,,,,,,,,
30,0000,3回裏,広島,大瀬良 大地,右,2.49,ロッテ,加藤 翔平,左,.255,0,7,2,3,見三振
31,1000,3回裏,広島,大瀬良 大地,右,2.49,ロッテ,荻野 貴司,右,.284,2,16,7,12,中飛
32,2000,3回裏,広島,大瀬良 大地,右,2.49,ロッテ,藤岡 裕大,左,.253,3,19,20,5,左飛
33,3000,,,,,,,,,,,,,,
34,0000,4回表,ロッテ,涌井 秀章,右,4.21,広島,會澤 翼,右,.343,5,13,14,0,中安
35,0100,4回表,ロッテ,涌井 秀章,右,4.21,広島,西川 龍馬,左,.286,0,7,5,0,三犠打
36,1010,4回表,ロッテ,涌井 秀章,右,4.21,広島,田中 広輔,左,.260,3,21,34,11,見三振
37,2010,4回表,ロッテ,涌井 秀章,右,4.21,広島,菊池 涼介,右,.268,7,25,14,3,中飛
38,3000,,,,,,,,,,,,,,
39,0000,4回裏,広島,大瀬良 大地,右,2.49,ロッテ,中村 奨吾,右,.297,2,25,20,14,空三振
40,1000,4回裏,広島,大瀬良 大地,右,2.49,ロッテ,角中 勝也,左,.258,1,12,5,0,左安
41,1100,4回裏,広島,大瀬良 大地,右,2.49,ロッテ,ドミンゲス,右,.268,6,13,3,0,遊失
42,1110,4回裏,広島,大瀬良 大地,右,2.49,ロッテ,清田 育宏,右,.250,1,16,17,1,右安
43,1101,4回裏,広島,大瀬良 大地,右,2.49,ロッテ,鈴木 大地,左,.233,1,14,19,4,右安
44,1110,4回裏,広島,大瀬良 大地,右,2.49,ロッテ,田村 龍弘,右,.238,0,10,17,2,中安
45,1101,4回裏,広島,大瀬良 大地,右,2.49,ロッテ,加藤 翔平,左,.255,0,7,2,3,右安
46,1110,4回裏,広島,大瀬良 大地,右,2.49,ロッテ,荻野 貴司,右,.284,2,16,7,12,死球
47,1111,4回裏,広島,大瀬良 大地,右,2.49,ロッテ,藤岡 裕大,左,.253,3,19,20,5,見三振
48,2111,4回裏,広島,大瀬良 大地,右,2.49,ロッテ,中村 奨吾,右,.297,2,25,20,14,見三振
49,3000,,,,,,,,,,,,,,
50,0000,5回表,ロッテ,涌井 秀章,右,4.21,広島,丸 佳浩,左,.322,6,18,38,3,右本
51,0000,5回表,ロッテ,涌井 秀章,右,4.21,広島,鈴木 誠也,右,.301,6,20,22,0,二ゴロ
52,1000,5回表,ロッテ,涌井 秀章,右,4.21,広島,松山 竜平,左,.303,4,28,19,0,四球
53,1100,5回表,ロッテ,涌井 秀章,右,4.21,広島,新井 貴浩,右,.258,1,11,3,0,中飛
54,2100,5回表,ロッテ,涌井 秀章,右,4.21,広島,野間 峻祥,左,.353,2,14,7,6,中飛
55,3000,,,,,,,,,,,,,,
56,0000,5回裏,広島,大瀬良 大地,右,2.49,ロッテ,角中 勝也,左,.258,1,12,5,0,一安
57,0100,5回裏,広島,大瀬良 大地,右,2.49,ロッテ,ドミンゲス,右,.268,6,13,3,0,空三振
58,1100,5回裏,広島,大瀬良 大地,右,2.49,ロッテ,清田 育宏,右,.250,1,16,17,1,空三振
59,2100,5回裏,広島,大瀬良 大地,右,2.49,ロッテ,鈴木 大地,左,.233,1,14,19,4,空三振
60,3000,,,,,,,,,,,,,,
61,0000,6回表,ロッテ,南 昌輝,右,2.41,広島,會澤 翼,右,.343,5,13,14,0,空三振
62,1000,6回表,ロッテ,南 昌輝,右,2.41,広島,西川 龍馬,左,.286,0,7,5,0,一ゴロ
63,2000,6回表,ロッテ,南 昌輝,右,2.41,広島,田中 広輔,左,.260,3,21,34,11,二ゴロ
64,3000,,,,,,,,,,,,,,
65,0000,6回裏,広島,大瀬良 大地,右,2.49,ロッテ,田村 龍弘,右,.238,0,10,17,2,遊ゴロ
66,1000,6回裏,広島,大瀬良 大地,右,2.49,ロッテ,加藤 翔平,左,.255,0,7,2,3,中飛
67,2000,6回裏,広島,大瀬良 大地,右,2.49,ロッテ,荻野 貴司,右,.284,2,16,7,12,中安
68,2100,6回裏,広島,大瀬良 大地,右,2.49,ロッテ,藤岡 裕大,左,.253,3,19,20,5,二ゴロ
69,3000,,,,,,,,,,,,,,
70,0000,7回表,ロッテ,大谷 智久,右,4.24,広島,菊池 涼介,右,.268,7,25,14,3,遊安
71,0100,7回表,ロッテ,大谷 智久,右,4.24,広島,丸 佳浩,左,.322,6,18,38,3,遊ゴロ
72,1010,7回表,ロッテ,大谷 智久,右,4.24,広島,鈴木 誠也,右,.301,6,20,22,0,左２
73,1010,7回表,ロッテ,大谷 智久,右,4.24,広島,松山 竜平,左,.303,4,28,19,0,投ゴロ
74,2010,7回表,ロッテ,大谷 智久,右,4.24,広島,新井 貴浩,右,.258,1,11,3,0,遊安
75,2101,7回表,ロッテ,大谷 智久,右,4.24,広島,野間 峻祥,左,.353,2,14,7,6,一ゴロ
76,3000,,,,,,,,,,,,,,
77,0000,7回裏,広島,大瀬良 大地,右,2.49,ロッテ,中村 奨吾,右,.297,2,25,20,14,右飛
78,1000,7回裏,広島,大瀬良 大地,右,2.49,ロッテ,角中 勝也,左,.258,1,12,5,0,空三振
79,2000,7回裏,広島,大瀬良 大地,右,2.49,ロッテ,ドミンゲス,右,.268,6,13,3,0,空三振
80,3000,,,,,,,,,,,,,,
81,0000,8回表,ロッテ,益田 直也,右,2.01,広島,會澤 翼,右,.343,5,13,14,0,左本
82,0000,8回表,ロッテ,益田 直也,右,2.01,広島,西川 龍馬,左,.286,0,7,5,0,投安
83,0100,8回表,ロッテ,益田 直也,右,2.01,広島,田中 広輔,左,.260,3,21,34,11,投犠打
84,1010,8回表,ロッテ,益田 直也,右,2.01,広島,菊池 涼介,右,.268,7,25,14,3,三ゴロ
85,2010,8回表,ロッテ,益田 直也,右,2.01,広島,丸 佳浩,左,.322,6,18,38,3,
86,2110,8回表,ロッテ,益田 直也,右,2.01,広島,鈴木 誠也,右,.301,6,20,22,0,四球
87,2111,8回表,ロッテ,松永 昂大,左,3.12,広島,松山 竜平,左,.303,4,28,19,0,捕ゴロ
88,3000,,,,,,,,,,,,,,
89,0000,8回裏,広島,ジャクソン,右,1.64,ロッテ,清田 育宏,右,.250,1,16,17,1,空三振
90,1000,8回裏,広島,ジャクソン,右,1.64,ロッテ,鈴木 大地,左,.233,1,14,19,4,空三振
91,2000,8回裏,広島,ジャクソン,右,1.64,ロッテ,福浦 和也,左,.189,0,5,4,0,一ゴロ
92,3000,,,,,,,,,,,,,,
93,0000,9回表,ロッテ,松永 昂大,左,3.12,広島,新井 貴浩,右,.258,1,11,3,0,二ゴロ
94,1000,9回表,ロッテ,松永 昂大,左,3.12,広島,野間 峻祥,左,.353,2,14,7,6,左安
95,1000,9回表,ロッテ,松永 昂大,左,3.12,広島,會澤 翼,右,.343,5,13,14,0,空三振
96,3000,,,,,,,,,,,,,,
97,0000,9回裏,広島,中崎 翔太,右,2.45,ロッテ,加藤 翔平,左,.255,0,7,2,3,遊ゴロ
98,1000,9回裏,広島,中崎 翔太,右,2.45,ロッテ,荻野 貴司,右,.284,2,16,7,12,三ゴロ
99,2000,9回裏,広島,中崎 翔太,右,2.45,ロッテ,藤岡 裕大,左,.253,3,19,20,5,空振り
100,3000,,,,,,,,,,,,,,
