,状況,回,守備チーム,投手,利き手,防御率,攻撃チーム,打者,打席,打率,本塁打数,打点,四球数,盗塁数,結果
0,0000,1回表,巨人,今村 信貴,左,0.00,楽天,田中 和基,右,.333,4,10,2,6,中安
1,0000,1回表,巨人,今村 信貴,左,0.00,楽天,茂木 栄五郎,左,.243,3,9,21,7,空三振
2,2000,1回表,巨人,今村 信貴,左,0.00,楽天,銀次,左,.252,1,17,19,0,遊ゴロ
3,3000,,,,,,,,,,,,,,
4,0000,1回裏,楽天,近藤 弘樹,右,4.15,巨人,坂本 勇人,右,.336,6,34,31,4,中安
5,0100,1回裏,楽天,近藤 弘樹,右,4.15,巨人,田中 俊太,左,.257,0,1,7,2,投犠打
6,1010,1回裏,楽天,近藤 弘樹,右,4.15,巨人,ゲレーロ,右,.270,10,29,20,2,左本
7,1000,1回裏,楽天,近藤 弘樹,右,4.15,巨人,岡本 和真,右,.329,10,37,20,2,遊ゴロ
8,2000,1回裏,楽天,近藤 弘樹,右,4.15,巨人,亀井 善行,左,.306,4,24,21,2,空三振
9,3000,,,,,,,,,,,,,,
10,0000,2回表,巨人,今村 信貴,左,0.00,楽天,今江 年晶,右,.301,4,22,8,0,右飛
11,1000,2回表,巨人,今村 信貴,左,0.00,楽天,ウィーラー,右,.263,4,15,12,3,三ゴロ
12,2000,2回表,巨人,今村 信貴,左,0.00,楽天,ペゲーロ,左,.228,13,30,15,1,遊ゴロ
13,3000,,,,,,,,,,,,,,
14,0000,2回裏,楽天,近藤 弘樹,右,4.15,巨人,マギー,右,.270,5,23,17,0,空三振
15,1000,2回裏,楽天,近藤 弘樹,右,4.15,巨人,陽 岱鋼,右,.293,0,2,3,1,右安
16,1100,2回裏,楽天,近藤 弘樹,右,4.15,巨人,小林 誠司,右,.262,1,18,14,0,中飛
17,2100,2回裏,楽天,近藤 弘樹,右,4.15,巨人,今村 信貴,左,.000,0,0,0,0,三ゴロ
18,3000,,,,,,,,,,,,,,
19,0000,3回表,巨人,今村 信貴,左,0.00,楽天,八百板 卓丸,左,.238,0,0,1,1,二ゴロ
20,1000,3回表,巨人,今村 信貴,左,0.00,楽天,山下 斐紹,左,.240,0,1,1,0,三ゴロ
21,2000,3回表,巨人,今村 信貴,左,0.00,楽天,近藤 弘樹,右,-,0,0,0,0,二ゴロ
22,3000,,,,,,,,,,,,,,
23,0000,3回裏,楽天,近藤 弘樹,右,4.15,巨人,坂本 勇人,右,.336,6,34,31,4,四球
24,0100,3回裏,楽天,近藤 弘樹,右,4.15,巨人,田中 俊太,左,.257,0,1,7,2,左安
25,0101,3回裏,楽天,近藤 弘樹,右,4.15,巨人,ゲレーロ,右,.270,10,29,20,2,一飛
26,1011,3回裏,楽天,近藤 弘樹,右,4.15,巨人,岡本 和真,右,.329,10,37,20,2,四球
27,1111,3回裏,楽天,近藤 弘樹,右,4.15,巨人,亀井 善行,左,.306,4,24,21,2,捕邪飛
28,2111,3回裏,楽天,近藤 弘樹,右,4.15,巨人,マギー,右,.270,5,23,17,0,左飛
29,3000,,,,,,,,,,,,,,
30,0000,4回表,巨人,今村 信貴,左,0.00,楽天,田中 和基,右,.333,4,10,2,6,遊ゴロ
31,1000,4回表,巨人,今村 信貴,左,0.00,楽天,茂木 栄五郎,左,.243,3,9,21,7,空三振
32,2000,4回表,巨人,今村 信貴,左,0.00,楽天,銀次,左,.252,1,17,19,0,左飛
33,3000,,,,,,,,,,,,,,
34,0000,4回裏,楽天,近藤 弘樹,右,4.15,巨人,陽 岱鋼,右,.293,0,2,3,1,左安
35,0100,4回裏,楽天,近藤 弘樹,右,4.15,巨人,小林 誠司,右,.262,1,18,14,0,投犠打
36,1010,4回裏,楽天,近藤 弘樹,右,4.15,巨人,今村 信貴,左,.000,0,0,0,0,二ゴロ
37,2001,4回裏,楽天,近藤 弘樹,右,4.15,巨人,坂本 勇人,右,.336,6,34,31,4,敬遠
38,2101,4回裏,楽天,近藤 弘樹,右,4.15,巨人,田中 俊太,左,.257,0,1,7,2,三ゴロ
39,3000,,,,,,,,,,,,,,
40,0000,5回表,巨人,今村 信貴,左,0.00,楽天,今江 年晶,右,.301,4,22,8,0,右飛
41,1000,5回表,巨人,今村 信貴,左,0.00,楽天,ウィーラー,右,.263,4,15,12,3,中安
42,1100,5回表,巨人,今村 信貴,左,0.00,楽天,ペゲーロ,左,.228,13,30,15,1,空三振
43,2100,5回表,巨人,今村 信貴,左,0.00,楽天,八百板 卓丸,左,.238,0,0,1,1,中安
44,2101,5回表,巨人,今村 信貴,左,0.00,楽天,山下 斐紹,左,.240,0,1,1,0,空三振
45,3000,,,,,,,,,,,,,,
46,0000,5回裏,楽天,近藤 弘樹,右,4.15,巨人,ゲレーロ,右,.270,10,29,20,2,左２
47,0010,5回裏,楽天,近藤 弘樹,右,4.15,巨人,岡本 和真,右,.329,10,37,20,2,三飛
48,1010,5回裏,楽天,青山 浩二,右,1.84,巨人,亀井 善行,左,.306,4,24,21,2,中安
49,1101,5回裏,楽天,青山 浩二,右,1.84,巨人,マギー,右,.270,5,23,17,0,見三振
50,2101,5回裏,楽天,青山 浩二,右,1.84,巨人,陽 岱鋼,右,.293,0,2,3,1,一飛
51,3000,,,,,,,,,,,,,,
52,0000,6回表,巨人,今村 信貴,左,0.00,楽天,嶋 基宏,右,.176,0,9,11,1,二ゴロ
53,1000,6回表,巨人,今村 信貴,左,0.00,楽天,田中 和基,右,.333,4,10,2,6,一邪飛
54,2000,6回表,巨人,今村 信貴,左,0.00,楽天,茂木 栄五郎,左,.243,3,9,21,7,二安
55,2100,6回表,巨人,今村 信貴,左,0.00,楽天,銀次,左,.252,1,17,19,0,三ゴロ
56,3000,,,,,,,,,,,,,,
57,0000,6回裏,楽天,青山 浩二,右,1.84,巨人,小林 誠司,右,.262,1,18,14,0,左飛
58,1000,6回裏,楽天,青山 浩二,右,1.84,巨人,吉川 尚輝,左,.232,1,11,14,6,中飛
59,2000,6回裏,楽天,青山 浩二,右,1.84,巨人,坂本 勇人,右,.336,6,34,31,4,空三振
60,3000,,,,,,,,,,,,,,
61,0000,7回表,巨人,澤村 拓一,右,3.51,楽天,今江 年晶,右,.301,4,22,8,0,空三振
62,1000,7回表,巨人,澤村 拓一,右,3.51,楽天,ウィーラー,右,.263,4,15,12,3,中安
63,1100,7回表,巨人,澤村 拓一,右,3.51,楽天,ペゲーロ,左,.228,13,30,15,1,三ゴロ
64,2100,7回表,巨人,澤村 拓一,右,3.51,楽天,八百板 卓丸,左,.238,0,0,1,1,空三振
65,3000,,,,,,,,,,,,,,
66,0000,7回裏,楽天,池田 隆英,右,5.58,巨人,田中 俊太,左,.257,0,1,7,2,左安
