,表チーム,裏チーム,表得点,裏得点
0,Rソックス,タイガース,5,6
1,Rソックス,タイガース,1,4
2,Rソックス,タイガース,7,5
3,Rソックス,タイガース,1,2
4,ツインズ,タイガース,1,2
5,ツインズ,タイガース,3,5
6,ツインズ,タイガース,11,5
7,マリナーズ,タイガース,8,0
8,マリナーズ,タイガース,2,1
9,Wソックス,タイガース,7,3
10,Wソックス,タイガース,6,4
11,Wソックス,タイガース,3,7
12,インディアンス,タイガース,1,7
13,インディアンス,タイガース,2,5
14,インディアンス,タイガース,3,2
15,オリオールズ,タイガース,13,11
16,オリオールズ,タイガース,4,5
17,オリオールズ,タイガース,5,6
18,レンジャーズ,タイガース,5,3
19,レンジャーズ,タイガース,3,9
20,Wソックス,タイガース,1,10
21,Wソックス,タイガース,4,7
22,エンゼルス,タイガース,5,3
23,エンゼルス,タイガース,0,4
24,エンゼルス,タイガース,11,4
25,Dバックス,タイガース,2,1
26,レイズ,タイガース,3,5
27,レイズ,タイガース,4,13
28,ロイヤルズ,タイガース,3,5
29,ロイヤルズ,タイガース,8,2
30,インディアンス,タイガース,4,1
31,インディアンス,タイガース,11,8
32,ジャイアンツ,タイガース,3,5
33,ジャイアンツ,タイガース,2,6
34,ア・リーグ,ナ・リーグ,2,1
35,ロイヤルズ,タイガース,5,3
36,ロイヤルズ,タイガース,3,1
37,ロイヤルズ,タイガース,16,2
38,アストロズ,タイガース,6,5
39,アストロズ,タイガース,3,5
40,アストロズ,タイガース,1,13
41,パイレーツ,タイガース,0,10
42,パイレーツ,タイガース,7,5
43,ツインズ,タイガース,9,4
44,ツインズ,タイガース,11,12
45,ツインズ,タイガース,6,4
46,ドジャース,タイガース,8,5
47,ドジャース,タイガース,3,0
48,ヤンキース,タイガース,13,4
49,ヤンキース,タイガース,10,2
50,ヤンキース,タイガース,6,10
51,インディアンス,タイガース,10,0
52,インディアンス,タイガース,5,2
53,ロイヤルズ,タイガース,2,13
54,ロイヤルズ,タイガース,13,2
55,Wソックス,タイガース,17,7
56,Wソックス,タイガース,2,3
57,Wソックス,タイガース,10,4
58,Wソックス,タイガース,0,12
59,アスレチックス,タイガース,8,3
60,アスレチックス,タイガース,9,8
61,アスレチックス,タイガース,3,2
62,ツインズ,タイガース,10,4
63,ツインズ,タイガース,10,4
64,Wソックス,インディアンス,1,2
65,Wソックス,インディアンス,2,1
66,Wソックス,インディアンス,10,4
67,タイガース,インディアンス,7,6
68,タイガース,インディアンス,6,13
69,タイガース,インディアンス,4,1
70,アストロズ,インディアンス,6,7
71,アストロズ,インディアンス,3,4
72,マリナーズ,インディアンス,3,1
73,マリナーズ,インディアンス,3,4
74,マリナーズ,インディアンス,4,12
75,ツインズ,インディアンス,1,0
76,ツインズ,インディアンス,4,1
77,ツインズ,インディアンス,3,8
78,レイズ,インディアンス,7,8
79,レイズ,インディアンス,6,4
80,レイズ,インディアンス,7,4
81,レッズ,インディアンス,4,3
82,ロイヤルズ,インディアンス,5,2
83,ロイヤルズ,インディアンス,1,10
84,アスレチックス,インディアンス,3,5
85,アスレチックス,インディアンス,4,9
86,アスレチックス,インディアンス,3,1
87,アスレチックス,インディアンス,0,8
